Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Personal Loan,Credit-Builder Loan,Debt Consolidation Loan,Mortgage Loan,Student Loan,Payday Loan,Auto Loan,Home Equity Loan
June,53.0,Lawyer,43354.77,3491.8975,1.0,4.0,14.0,1.0,5.0,9.0,9.23,5.0,0.0,1159.33,36.482028632427046,200.0,No,29.916254436706645,308.90629280871866,Low_spent_Large_value_payments,280.36720275457463,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
July,31.0,Doctor,20501.72,1619.476666666667,7.0,9.0,16.0,8.0,50.0,18.0,5.97,8.0,0.0,2024.36,27.29358275409153,189.0,Yes,72.73705941902902,26.47966432021613,Low_spent_Small_value_payments,302.73094292742155,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
June,22.0,Musician,15081.12,1298.76,8.0,7.0,22.0,4.0,30.0,16.0,19.08,11.0,1.0,1987.21,29.59047760251628,204.0,Yes,41.06589354729759,44.452341566914036,Low_spent_Large_value_payments,314.35776488578836,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
April,35.0,Entrepreneur,125977.6,10426.133333333331,7.0,5.0,13.0,2.0,27.0,19.0,11.02,2.0,1.0,581.65,42.8915779937646,383.0,Yes,149.98251586409074,124.27961590549779,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
June,43.0,Doctor,75773.2,6248.4333333333325,8.0,5.0,32.0,9.0,31.0,21.0,18.74,11.0,0.0,3659.35,36.64464558296065,383.0,Yes,288.1249614776763,90.4944126634408,High_spent_Medium_value_payments,496.22395919221617,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
January,31.0,Lawyer,62859.18000000001,5414.265,9.0,9.0,29.0,7.0,44.0,21.0,4.64,7.0,0.0,1634.56,37.763199204805375,225.0,Yes,242.3135314264052,90.4944126634408,High_spent_Small_value_payments,289.0743498279386,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
April,39.0,Mechanic,63851.24,5328.9366666666665,8.0,4.0,19.0,2.0,11.0,18.0,8.94,7.0,1.0,2061.5,24.38242907359585,145.0,Yes,78.33983613533862,510.9231039686776,Low_spent_Small_value_payments,233.63072656265058,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
May,43.0,Writer,80562.56,6587.546666666666,4.0,3.0,7.0,3.0,8.0,7.0,0.79,5.0,1.0,88.98,30.06704885591521,380.0,No,136.88695375977477,368.0015065198214,Low_spent_Small_value_payments,423.86620638707046,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
May,33.0,Developer,18264.11,1621.009166666667,5.0,5.0,15.0,7.0,23.0,20.0,16.98,7.0,1.0,2622.13,24.593339750840023,151.0,Yes,90.81220497986294,73.9800381534687,High_spent_Small_value_payments,257.308673533335,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
February,28.0,Entrepreneur,37756.85,3097.31625,1.0,5.0,11.0,2.0,6.0,3.0,5.34,0.0,2.0,190.4,42.330894404185344,363.0,No,206.2468013583729,99.81634311165027,High_spent_Large_value_payments,334.044059374466,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
May,23.0,Lawyer,36446.72,3193.226666666667,8.0,4.0,16.0,3.0,25.0,17.0,19.8,1.0,2.0,1367.36,27.25577403600125,209.0,Yes,53.268634190698656,43.346351929993276,High_spent_Large_value_payments,462.7076805459748,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
March,15.0,Scientist,35412.02,2715.0016666666666,5.0,3.0,19.0,6.0,22.0,23.0,11.01,12.0,1.0,495.51,36.16090149808744,209.0,No,130.7251903901762,211.05904502177586,Low_spent_Large_value_payments,199.71593125471455,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
June,18.0,Media_Manager,32300.85,1555.795,6.0,5.0,12.0,3.0,24.0,10.0,15.3,0.0,1.0,298.85,27.975638390468248,358.0,Yes,71.33363564953069,106.99087584342941,Low_spent_Small_value_payments,385.64923850703985,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
June,16.0,Mechanic,16701.54,1555.795,7.0,6.0,26.0,5.0,18.0,16.0,19.53,14.0,0.0,3356.86,26.68190370971839,46.0,Yes,45.01267381915569,38.50753135153456,High_spent_Large_value_payments,312.0592948293098,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
August,25.0,Journalist,31599.56,2528.6262616140293,7.0,8.0,23.0,7.0,33.0,24.0,1.9,10.0,0.0,2393.94,38.6890199045062,201.0,Yes,246.9089379668863,51.933135524629115,High_spent_Large_value_payments,344.35799822778824,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
April,28.0,Media_Manager,125982.48,10235.54,4.0,5.0,14.0,4.0,2.0,3.0,3.4400000000000004,2.0,2.0,1274.76,27.231775422398872,187.0,No,247.7392335203187,176.44850448561348,High_spent_Medium_value_payments,334.044059374466,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
June,17.0,Architect,76257.52,6383.793333333334,7.0,9.0,24.0,9.0,48.0,19.0,20.04,7.0,0.0,2828.24,32.18347709241045,73.0,Yes,346.2966996254188,292.8920523086965,Low_spent_Small_value_payments,289.19058139921816,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
January,38.0,Engineer,17212.35,1271.3625,8.0,9.0,26.0,2.0,18.0,18.0,13.44,12.0,0.0,2427.44,32.042817778873804,136.0,Yes,15.953524166759104,95.286656358024,Low_spent_Medium_value_payments,295.89606947521685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
March,27.0,Scientist,46174.58,3652.881666666666,8.0,3.0,4.0,3.0,12.0,10.0,-4.03,3.0,2.0,1268.49,25.90448272040503,255.0,No,99.83624426051595,253.6477475832092,Low_spent_Medium_value_payments,291.80417482294155,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
May,24.0,Media_Manager,77597.7,6619.474999999999,4.0,5.0,3.0,4.0,6.0,8.0,6.03,2.0,2.0,404.69,34.08079181440622,375.0,No,69.46323081444827,355.0196349286145,Low_spent_Small_value_payments,371.64963343513267,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
July,50.0,Writer,21053.37,1616.4475,4.0,4.0,2.0,2.0,26.0,22.0,3.66,1.0,2.0,586.15,32.43884671692808,298.0,No,28.386073511945764,60.29927569757442,Low_spent_Medium_value_payments,352.95940079047983,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
May,28.0,Accountant,14411.9,1330.9916666666666,6.0,8.0,24.0,7.0,23.0,18.0,25.8,7.0,0.0,3640.4,32.64307646948707,115.0,Yes,71.66267575456878,124.24836245253378,Low_spent_Medium_value_payments,217.1881284595641,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
July,34.0,Teacher,14851.27,1462.605833333333,8.0,9.0,30.0,6.0,18.0,24.0,23.18,8.0,0.0,2867.66,35.63344508718608,143.0,Yes,43.23479313919076,119.94573352421976,Low_spent_Medium_value_payments,263.08005666992284,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
August,18.0,Scientist,18083.015,1780.9179166666663,0.0,5.0,6.0,1.0,7.0,7.0,4.78,3.0,2.0,796.31,28.326269602374765,336.0,No,8.350875465140536,29.11132921892453,Low_spent_Small_value_payments,375.8806823090738,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
April,45.0,Developer,18464.08,1688.6733333333334,8.0,7.0,8.0,7.0,27.0,20.0,17.68,5.0,1.0,2584.22,33.234015376629195,82.0,No,95.71838286217655,136.71794729830032,Low_spent_Small_value_payments,226.4310031728565,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
August,33.0,Manager,20223.0,1614.25,6.0,8.0,15.0,5.0,14.0,15.0,15.03,11.0,1.0,393.55,37.59727871053608,90.0,Yes,73.64467479040795,29.11132921892453,High_spent_Large_value_payments,298.66899599066755,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
May,24.0,Lawyer,22705.83,1728.1525,4.0,6.0,4.0,2.0,27.0,12.0,4.53,6.0,2.0,854.1,35.29321340320057,385.0,No,22.670802698934494,150.1886522898233,Low_spent_Small_value_payments,289.95579501124223,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
June,43.0,Entrepreneur,63658.26,5281.855,3.0,6.0,12.0,2.0,24.0,17.0,14.57,11.0,1.0,498.59,41.31569663165871,319.0,Yes,81.23619471554962,189.31983090574195,Low_spent_Medium_value_payments,537.6294743787083,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
April,49.0,Lawyer,20770.6,1784.8833333333332,7.0,4.0,17.0,3.0,14.0,10.0,2.82,4.0,1.0,167.61,23.692194048457957,302.0,No,35.370815416199875,31.71482346094864,High_spent_Large_value_payments,351.40269445618486,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
February,44.0,Scientist,29951.57,2254.964166666666,8.0,6.0,20.0,0.0,23.0,16.0,7.44,7.0,1.0,704.02,38.3672504087644,224.0,Yes,0.0,35.90434210507251,High_spent_Large_value_payments,429.5920745615941,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
February,41.0,Musician,8938.07,678.8391666666666,6.0,9.0,34.0,7.0,18.0,25.0,27.81,11.0,1.0,1178.69,32.37668334045783,28.0,Yes,33.67769685087954,49.36811052707204,Low_spent_Small_value_payments,274.8381092887151,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
August,33.0,Engineer,59710.88,4995.906666666667,4.0,5.0,11.0,1.0,18.0,25.0,6.02,1.0,1.0,36.28,36.476413699135634,264.0,No,41.77648533885026,396.4656200728215,Low_spent_Medium_value_payments,341.348561254995,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,43.0,Entrepreneur,14773.38,1313.115,8.0,9.0,18.0,6.0,29.0,18.0,4.34,10.0,0.0,2768.74,31.997883398100534,56.0,Yes,43.30058248120604,75.61069442514072,Low_spent_Medium_value_payments,292.40022309365327,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
April,26.0,Teacher,114224.24,9459.686666666666,5.0,6.0,15.0,3.0,18.0,10.0,14.27,4.0,1.0,1216.94,40.67964905999997,281.0,Yes,275.717975789387,229.48777916066624,Low_spent_Small_value_payments,680.7629117166132,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
August,35.0,Developer,16154.8,1443.2333333333331,4.0,3.0,8.0,2.0,24.0,16.0,17.36,6.0,1.0,275.06,37.079425163211816,98.0,Yes,24.462194233240623,14.230240812878444,High_spent_Large_value_payments,345.6308982872143,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
April,14.0,Manager,61922.24,5418.1866666666665,6.0,9.0,18.0,9.0,23.0,16.0,23.28,6.0,0.0,1178.69,26.16087531005459,43.0,Yes,336.0148625335316,265.9219263291103,Low_spent_Small_value_payments,229.88187780402473,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
July,19.0,Media_Manager,14527.455,964.62125,3.0,3.0,4.0,4.0,14.0,4.0,6.31,2.0,2.0,321.05,36.948085785115424,237.0,No,41.69544479322632,41.819845889397634,Low_spent_Large_value_payments,282.94683431737604,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
January,44.0,Entrepreneur,57180.88,4584.073333333333,3.0,4.0,9.0,0.0,4.0,12.0,3.89,2.0,2.0,1126.79,29.24966113588125,232.0,No,0.0,142.78085701081147,High_spent_Small_value_payments,575.6264763225219,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
January,30.0,Musician,51938.04,4473.17,7.0,7.0,33.0,7.0,46.0,17.0,1.62,11.0,0.0,1638.92,31.30594603532725,191.0,No,196.37801898351228,66.57685270030487,Low_spent_Medium_value_payments,352.62594010483633,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
February,24.0,Doctor,17366.08,1365.1733333333334,6.0,6.0,14.0,1.0,28.0,12.0,15.53,4.0,1.0,133.38,33.88672471950385,226.0,No,12.974549316766886,114.81957706371796,Low_spent_Small_value_payments,298.7232069528485,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
July,26.0,Entrepreneur,59534.16,5159.18,5.0,7.0,20.0,3.0,22.0,16.0,14.64,6.0,1.0,1350.67,36.0851733379245,127.0,Yes,143.18346009489682,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
February,35.0,Architect,50155.74000000001,4312.645,4.0,7.0,18.0,6.0,19.0,19.0,15.14,7.0,1.0,2358.09,29.4652476749848,159.0,Yes,187.5774228417488,282.80997395710085,High_spent_Small_value_payments,220.87710320115036,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
August,20.0,Teacher,19266.77,1889.5641666666668,6.0,7.0,25.0,2.0,19.0,12.0,2.4499999999999997,17.0,1.0,2397.32,29.77239123095889,198.0,Yes,28.8815955300262,32.98571844011673,High_spent_Large_value_payments,367.08910269652375,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
March,24.0,Mechanic,42884.84,3578.736666666666,4.0,6.0,7.0,0.0,23.0,0.0,0.73,0.0,2.0,1302.49,26.5645903460688,361.0,No,0.0,421.7396374135711,Low_spent_Small_value_payments,226.13402925309555,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
May,45.0,Teacher,10324.26,708.355,7.0,9.0,29.0,9.0,24.0,22.0,21.52,11.0,0.0,3276.53,34.462300531037044,36.0,Yes,44.12355815389902,56.37488738274004,Low_spent_Small_value_payments,260.33705446336097,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
June,20.0,Journalist,75010.52,3299.1175,9.0,8.0,21.0,7.0,51.0,19.0,8.54,8.0,2.0,1178.69,37.97727802329664,129.0,Yes,69.46323081444827,138.60808100353978,High_spent_Medium_value_payments,326.3178986154716,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
August,29.0,Journalist,42109.41,3299.1175,7.0,5.0,34.0,7.0,31.0,22.0,4.26,11.0,0.0,2730.76,34.05918789821749,45.0,Yes,128.212261778309,71.23504913865327,High_spent_Large_value_payments,370.46443908303775,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
February,41.0,Media_Manager,60364.08,5045.34,7.0,6.0,24.0,7.0,16.0,8.0,19.47,7.0,1.0,1855.46,24.835566784467023,100.0,No,179.02928286779496,103.33438524956335,High_spent_Large_value_payments,462.1703318826417,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
March,33.0,Musician,15589.34,1005.1116666666668,8.0,8.0,33.0,8.0,41.0,22.0,6.03,7.0,0.0,2917.05,38.09871765170677,21.0,Yes,91.57182950349753,0.0,High_spent_Large_value_payments,242.3606307444121,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
January,34.0,Media_Manager,31820.56,2520.7133333333336,7.0,6.0,8.0,1.0,23.0,15.0,8.44,2.0,1.0,1394.06,36.65699685142712,304.0,Yes,17.299831962391277,81.93858224431851,Low_spent_Large_value_payments,422.8329191266236,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,21.0,Entrepreneur,86971.56,7053.63,8.0,5.0,4.0,1.0,24.0,21.0,2.98,4.0,2.0,333.78,40.98342365370275,245.0,No,38.44517562219672,171.9069901909881,High_spent_Large_value_payments,735.0108341868151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,23.0,Manager,17096.48,1467.706666666667,3.0,4.0,5.0,0.0,15.0,11.0,3.01,7.0,1.0,728.06,36.83972277457157,260.0,No,0.0,85.82256799736585,Low_spent_Medium_value_payments,340.94809866930086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April,40.0,Journalist,92459.1,7413.925,3.0,3.0,9.0,2.0,24.0,11.0,3.01,7.0,1.0,1282.53,31.080009594770377,190.0,No,142.79428430002483,186.1224884201042,High_spent_Large_value_payments,652.4757272798712,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
January,28.0,Scientist,65929.12,5649.093333333332,6.0,5.0,18.0,2.0,6.0,8.0,17.76,7.0,1.0,1329.17,38.82991958168681,238.0,Yes,64.91669021308391,133.87610186211919,High_spent_Large_value_payments,606.1165412581303,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
July,30.0,Teacher,24821.36,2106.4466666666667,5.0,5.0,7.0,0.0,6.0,20.0,2.25,6.0,1.0,298.88,25.17892680593761,397.0,No,0.0,131.11160122658094,Low_spent_Large_value_payments,349.5330654400857,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
January,46.0,Architect,85515.94,7246.328333333334,5.0,3.0,11.0,3.0,16.0,1.0,11.5,0.0,2.0,163.56,36.367931504024256,285.0,No,69.46323081444827,133.72800399760985,Low_spent_Medium_value_payments,183.51230398714142,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
May,28.0,Developer,16861.34,1453.111666666667,2.0,6.0,2.0,3.0,0.0,5.0,14.77,2.0,2.0,408.71,24.48075815150936,281.0,No,41.57299470679325,126.02585604821655,Low_spent_Medium_value_payments,257.7123159116569,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
March,19.0,Journalist,30931.16,2521.596666666667,4.0,7.0,15.0,6.0,15.0,11.0,8.41,10.0,1.0,775.33,34.89155644293705,200.0,Yes,81.4748102046393,42.42429045679323,High_spent_Medium_value_payments,378.2605660052341,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
June,22.0,Lawyer,77818.98,6573.915,5.0,6.0,8.0,4.0,11.0,15.0,11.86,4.0,1.0,1066.38,38.73510216179381,276.0,Yes,143.18580051827718,406.56526493369455,Low_spent_Medium_value_payments,387.64043454802834,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
February,49.0,Teacher,89531.13,7216.927500000002,3.0,4.0,10.0,3.0,11.0,13.0,3.04,4.0,1.0,931.94,37.99565485884491,383.0,No,223.2765484508152,448.0719560552391,Low_spent_Medium_value_payments,330.34424549394595,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
February,45.0,Engineer,37756.85,7595.5275,0.0,7.0,1.0,3.0,6.0,9.0,10.61,3.0,2.0,362.04,37.44490107902715,335.0,No,156.95657029118857,243.6116739039328,Low_spent_Large_value_payments,628.9845058048787,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
May,36.0,Teacher,11780.935,1274.7445833333334,8.0,5.0,10.0,0.0,9.0,12.0,5.8,6.0,1.0,526.12,29.405408159240345,392.0,No,0.0,84.6780854172266,Low_spent_Small_value_payments,332.79637291610675,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
April,20.0,Lawyer,81769.35,6995.1125,7.0,5.0,13.0,4.0,15.0,14.0,3.27,0.0,1.0,535.75,25.83191106114579,173.0,No,183.27709711853663,180.9998502524336,High_spent_Large_value_payments,575.2343026290298,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
April,17.0,Developer,18207.57,1369.2975,5.0,7.0,24.0,5.0,22.0,19.0,9.7,14.0,1.0,2310.54,28.50044613462556,84.0,Yes,68.3667622704828,70.16554369089319,Low_spent_Medium_value_payments,278.39744403862403,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
August,44.0,Entrepreneur,16358.97,1611.2475,9.0,9.0,23.0,9.0,42.0,25.0,3.14,13.0,0.0,2896.95,24.246531549564597,173.0,Yes,110.1315508364132,115.29172359719931,Low_spent_Small_value_payments,225.70147556638747,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
May,33.0,Developer,135596.28,11343.69,4.0,3.0,12.0,1.0,15.0,12.0,3.85,3.0,1.0,298.74,28.19328551027245,194.0,No,111.1157137468094,133.72800399760985,Low_spent_Small_value_payments,434.05749722302767,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
May,24.0,Lawyer,23035.15,1901.595833333333,6.0,7.0,17.0,5.0,22.0,16.0,19.39,4.0,0.0,954.44,34.01699568868616,98.0,Yes,91.77461106949762,69.15441708091164,High_spent_Medium_value_payments,279.2305551829241,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
July,53.0,Accountant,45749.06,3405.417951238789,6.0,5.0,13.0,4.0,24.0,11.0,5.74,3.0,1.0,443.19,34.42022971341639,279.0,Yes,305.2580326972269,280.04396221674216,Low_spent_Large_value_payments,239.74388718057514,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
March,33.0,Accountant,7698.58,731.5483333333333,9.0,5.0,29.0,5.0,18.0,15.0,22.86,12.0,0.0,2573.23,36.8901236346174,63.0,Yes,26.68874976589489,51.491810438552434,Low_spent_Small_value_payments,284.974273128886,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
July,22.0,Entrepreneur,86971.56,7053.63,8.0,5.0,4.0,1.0,27.0,16.0,2.98,4.0,2.0,333.78,38.93817504561333,245.0,No,38.44517562219672,81.4223224346992,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,36.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,1.0,179.22,35.112531991297786,328.0,Yes,124.39208242092045,158.11240346721374,Low_spent_Large_value_payments,464.1635141118658,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
March,43.0,Mechanic,34766.06,3133.171666666666,0.0,1.0,11.0,3.0,4.0,6.0,5.71,0.0,2.0,1374.23,35.561421056674746,192.0,No,78.09310673608609,182.6155518974313,Low_spent_Small_value_payments,342.6085080331493,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
May,18.0,Mechanic,62008.35000000001,5256.3625,10.0,7.0,21.0,3.0,44.0,16.0,11.31,12.0,1.0,2360.12,39.91990250363048,279.0,Yes,127.3921470520096,110.13308354239258,High_spent_Medium_value_payments,538.1110194055979,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
February,22.0,Accountant,102046.83,8609.9025,3.0,3.0,3.0,0.0,9.0,0.0,1.78,1.0,2.0,1252.78,37.51681897434928,285.0,No,0.0,475.8337591211665,Low_spent_Medium_value_payments,665.1564908788337,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
February,36.0,Engineer,16480.5,1669.375,8.0,6.0,16.0,7.0,11.0,13.0,12.82,7.0,1.0,201.57,28.47796104024273,81.0,Yes,85.12486299611507,100.64404915269395,Low_spent_Small_value_payments,271.168587851191,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
June,53.0,Lawyer,32029.98,2588.165,2.0,5.0,4.0,3.0,8.0,5.0,9.11,0.0,2.0,451.72,30.596476731671626,366.0,No,66.40043249696937,40.020239559382546,High_spent_Large_value_payments,392.39582794364816,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
April,25.0,Doctor,34238.4,2586.2000000000007,7.0,3.0,8.0,1.0,24.0,19.0,15.02,6.0,1.0,322.94,40.9209227101509,230.0,Yes,23.2739144163007,56.2795853329896,High_spent_Large_value_payments,419.06650025070974,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
May,37.0,Lawyer,40883.92,3525.9933333333333,6.0,10.0,15.0,5.0,18.0,23.0,4.01,11.0,0.0,1831.87,32.667938112509205,187.0,Yes,131.52815362537774,180.6919792526937,Low_spent_Small_value_payments,330.37920045526187,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
May,22.0,Doctor,23195.18,1768.9316666666666,8.0,6.0,14.0,5.0,8.0,11.0,14.52,8.0,1.0,458.8,37.76466102604437,199.0,Yes,53.429503407349046,17.139052988874163,High_spent_Large_value_payments,346.3246102704435,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
January,41.0,Entrepreneur,20415.41,1764.2841666666666,7.0,4.0,14.0,3.0,18.0,9.0,5.4,2.0,1.0,245.91,25.913050205414898,341.0,Yes,47.73598263980553,27.545671471068143,High_spent_Large_value_payments,341.146762555793,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
January,41.0,Mechanic,106550.19,8804.1825,4.0,7.0,16.0,3.0,26.0,14.0,16.74,0.0,1.0,401.46,36.1098264395484,297.0,Yes,69.46323081444827,71.52089388332186,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
March,46.0,Doctor,129727.4,11076.616666666669,3.0,5.0,19.0,2.0,27.0,15.0,11.68,2.0,1.0,1111.92,40.041892236877885,373.0,Yes,175.05634069915615,532.1017055435334,Low_spent_Large_value_payments,670.5036204239769,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
August,52.0,Musician,87636.03,6291.992443316578,4.0,1.0,4.0,2.0,3.0,2.0,3.38,3.0,2.0,202.96,40.000275024421406,365.0,No,69.46323081444827,60.72935307420884,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
April,22.0,Musician,80678.54999999999,7017.212499999999,5.0,5.0,8.0,2.0,5.0,13.0,7.01,3.0,1.0,345.47,36.25038422258629,352.0,Yes,105.4494665943828,356.5227360840847,Low_spent_Medium_value_payments,519.7490473215323,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
August,32.0,Accountant,108223.71,7841.023964489806,1.0,7.0,2.0,1.0,5.0,10.0,10.54,1.0,2.0,1044.63,33.499817824393695,365.0,No,69.46323081444827,208.84757715663383,High_spent_Large_value_payments,334.044059374466,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
July,30.0,Doctor,24813.21,2168.7675,6.0,4.0,18.0,3.0,17.0,20.0,2.35,8.0,1.0,573.77,34.70200603457475,350.0,Yes,31.60556576244485,67.15879504240164,High_spent_Medium_value_payments,368.1123891951535,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
June,44.0,Lawyer,71735.48,6021.956666666666,8.0,3.0,8.0,3.0,25.0,22.0,15.07,2.0,1.0,940.19,34.80059585758178,238.0,Yes,144.54006046544487,234.2668291041357,High_spent_Medium_value_payments,473.388777097086,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
March,31.0,Accountant,7991.33,736.9441666666668,8.0,6.0,25.0,7.0,18.0,26.0,5.59,6.0,0.0,2870.09,30.58979779329928,49.0,Yes,43.36129547348475,81.26482357227323,Low_spent_Small_value_payments,239.06829762090862,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
May,39.0,Developer,15968.14,1380.678333333333,7.0,7.0,21.0,9.0,37.0,22.0,17.26,14.0,0.0,1178.69,28.285837075675744,145.0,No,77.99711821646055,43.60042995820311,High_spent_Medium_value_payments,266.4702851586697,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
August,54.0,Lawyer,92794.04,7562.836666666666,4.0,7.0,7.0,0.0,27.0,16.0,11.09,3.0,1.0,1269.4,28.66989749604261,341.0,Yes,0.0,145.00345337952876,High_spent_Small_value_payments,334.044059374466,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
